Pos,ReservNr,Bedarfsmenge,BME,Material,BedTermin,BME.1,Gel,KdA-Pos,Auftrag,Angel.am,Uhrzeit
1104,3133478,1,ST,f20ecfaceeab40936b7e369f0c2c0584,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1105,3133478,1,ST,86095dca49e8c4a988ac2438008b2640,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1107,3133478,1,ST,2fb6b585b936c8418af1e76ddbce0563,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1108,3133478,1,ST,ea723f351983ec77920253f0016432a0,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1109,3133478,1,ST,c43e00bbc6a468a7e08c8a3e8b2300a4,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1110,3133478,1,ST,4de7eddac8c68c6006a530627c61bbbb,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1111,3133478,1,ST,e0cef21e6993a97784eaeb73874ebfe3,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1112,3133478,1,ST,c1215d9e3188fffe484c395be8490af0,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1113,3133478,1,ST,a3f5a837a731c21cf3bfe624df240878,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1114,3133478,1,ST,f4ba3e1502e4703103b26e0cb8ec5462,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1115,3133478,1,ST,c250c4694f1476ea550e28d518538fad,22.06.24,ST,,0,4057369,21.06.24,07:48:33
4603,3194976,1,ST,a5f17c36f45f152260b258a5be7cee4d,29.07.24,ST,X,0,4059175,21.06.24,17:15:41
4604,3194976,1,ST,0eb38a6d9afc9238d4e70ce843b6ad1f,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4611,3194976,1,ST,f1a50152d66014927388951cfd73c2c0,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4618,3194976,1,ST,89e58e1ce03def93783818df22131d01,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4621,3194976,1,ST,e0dc02f4a3e2a61ffc581a96f4de5a7b,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4622,3194976,1,ST,a81d890c776ef61285341bf455622c4b,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4626,3194976,1,ST,6fc9b50910a53f36aa80f7667b722cf5,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4634,3194976,1,ST,7c0fdfda86f679a46232427387c3bf0d,29.07.24,ST,,0,4059175,21.06.24,17:15:42
3537,3222120,4,ST,e99e0d092da3e26d56a1d46557a5c8e3,03.08.24,ST,,0,4059936,21.06.24,13:38:09
3551,3222120,8,ST,e99e0d092da3e26d56a1d46557a5c8e3,03.08.24,ST,,0,4059936,21.06.24,13:38:10
4642,3194976,1,ST,8d2251b9cbd950adb481ba6bcd6cc64f,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4643,3194976,1,ST,7c0fdfda86f679a46232427387c3bf0d,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4652,3194976,1,ST,25b6e5583b2c4df6533f92e0cb144c72,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4653,3194976,1,ST,097dd1954a1cef10033c0f172b6b2d5c,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4662,3194976,1,ST,d34364a3eac2f81b5a810ba21ab6a940,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4665,3194976,1,ST,097dd1954a1cef10033c0f172b6b2d5c,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4673,3194976,1,ST,270831a8e736694b0446d0cceadb100a,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4676,3194976,1,ST,a5f17c36f45f152260b258a5be7cee4d,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4677,3194976,1,ST,e0b9ba2bfc9f88c132ade1c3a00d2198,24.06.24,ST,X,0,4059175,21.06.24,17:18:57
4683,3194976,1,ST,e0b9ba2bfc9f88c132ade1c3a00d2198,24.06.24,ST,,0,4059175,21.06.24,17:18:57
4684,3194976,1,ST,e0b9ba2bfc9f88c132ade1c3a00d2198,28.06.24,ST,X,0,4059175,21.06.24,17:20:49
4690,3194976,1,ST,e0b9ba2bfc9f88c132ade1c3a00d2198,28.06.24,ST,,0,4059175,21.06.24,17:20:50
4692,3194976,1,ST,e0b9ba2bfc9f88c132ade1c3a00d2198,28.06.24,ST,X,0,4059175,21.06.24,17:21:45
4698,3194976,1,ST,e0b9ba2bfc9f88c132ade1c3a00d2198,28.06.24,ST,,0,4059175,21.06.24,17:21:45
4406,3194976,10,MM,f94209bd4dca81788a838bb15987f89d,19.07.24,MM,,0,4059175,21.06.24,14:56:38
4605,3194976,1,ST,5cdce6a7646b41727fd838e647a03fd0,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4606,3194976,1,ST,2f3d9739303cad424169ec3b42686a23,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4607,3194976,1,ST,85d261be79b72049d5a64fd9d708dc13,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4608,3194976,1,ST,3c02c45d0d33dd1992f4f3672a2cd48d,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4609,3194976,1,ST,6d3347c7262d817e67b4e87fdc9e3b63,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4610,3194976,4,ST,e63bc02fc7808a291df0baff9efbd3a5,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4612,3194976,1,ST,d681055714320ea8e7d0da7b1b336716,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4613,3194976,1,ST,785c982c30c561c8849263c31a9dc49b,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4614,3194976,2,ST,e63bc02fc7808a291df0baff9efbd3a5,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4615,3194976,1,ST,c22bd21421edb3d39b971ac42a199c63,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4616,3194976,6,ST,f57ebef802265cf9aafcb9b4bdae0bac,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4617,3194976,1,ST,3c02c45d0d33dd1992f4f3672a2cd48d,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4619,3194976,1,ST,d77a9750e779eee238b43047e6fdeedb,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4620,3194976,1,ST,49b5df9945e45a191ebea925a7464988,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4623,3194976,1,ST,804e9fcbb605dac44a546b1bf5a13732,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4624,3194976,1,ST,cb23aae2221b7ecf6a6f32b4f30e7ae2,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4625,3194976,1,ST,dc8907e77c3156a9ae9f059feb57b89d,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4627,3194976,1,ST,05f8616af03bb953bfabb1bc90ba7b5d,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4628,3194976,1,ST,8bf364226a05e349d2528c3953d42852,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4629,3194976,1,ST,b5ef8922671a8e38cf256a2de783e478,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4630,3194976,1,ST,d9b42d636cb5c5f802e477c0c67767bd,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4631,3194976,3,MM,9970c1f0d54ae4ef298c3d7b9c3f07e5,29.07.24,MM,,0,4059175,21.06.24,17:15:42
4632,3194976,1,ST,1b85df53fe05ae269fc9c26dfde18d3d,29.07.24,ST,,0,4059175,21.06.24,17:15:42
4633,3194976,1,ST,26d0805ba80def14510c131b2987e4e9,29.07.24,ST,,0,4059175,21.06.24,17:15:42
